booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
R634,352,,,352,New Lots Av,
R635,353,,,353,President Street-Medgar Evers College,
R636,354,,,354,Sterling St,
R637,355,,,355,Winthrop St,
R639,356,,,356,Church Av,
R641,357,,,357,Beverly Rd,
R643,358,,,358,Newkirk Av - Little Haiti,
R644,358,,,358,Newkirk Av - Little Haiti,
R645,359,,,359,Flatbush Av-Brooklyn College,
R646,359,,,359,Flatbush Av-Brooklyn College,
R647,359,,,359,Flatbush Av-Brooklyn College,
R423,360,,,360,Pelham Bay Park,
R422,361,,,361,Buhre Av,
R421,362,,,362,Middletown Rd,
R420,363,,,363,Westchester Sq-E Tremont Av,
R419,364,,,364,Zerega Av,
R418,365,,,365,Castle Hill Av,
R417,366,,,366,Parkchester,
R416,367,,,367,St Lawrence Av,
R415,368,,,368,Morrison Av-Soundview,
R414,369,,,369,Elder Av,
R413,370,,,370,Whitlock Av,
R412,371,,,371,Hunts Point Av,
R410,372,,,372,Longwood Av,
R411,372,,,372,Longwood Av,
R408,373,,,373,E 149 St,
R409,373,,,373,E 149 St,
R406,374,,,374,E 143 St-St Mary's St,
R407,374,,,374,E 143 St-St Mary's St,
R404,375,,,375,Cypress Av,
R405,375,,,375,Cypress Av,
R402,376,,,376,Brook Av,
R403,376,,,376,Brook Av,
R401,377,,,377,3 Av-138 St,
R400,377,,,377,3 Av-138 St,
R294,378,,,378,Woodlawn,
R293,379,,,379,Mosholu Pkwy,
R291,380,,,380,Bedford Park Blvd-Lehman College,
R290,381,,,381,Kingsbridge Rd,
R289,382,,,382,Fordham Rd,
R288,383,,,383,183 St,
R287,384,,,384,Burnside Av,
R286,385,,,385,176 St,
R285,386,,,386,Mt Eden Av,
R284,387,,,387,170 St,
R283,388,,,388,167 St,
R262,389,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
R262A,389,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
R262B,389,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
R260,390,435,,603,149 St-Grand Concourse,149 St - Grand Concourse
R261,390,435,,603,149 St-Grand Concourse,149 St - Grand Concourse
R259,391,,,391,138 St-Grand Concourse,
R258,392,,,392,125 St,
R256,393,,,393,116 St,
R257,393,,,393,116 St,
R253,394,,,394,110 St,
R254,394,,,394,110 St,
R252,395,,,395,103 St,
R251,396,,,396,96 St,
R249,397,,,397,86 St,
R250,397,,,397,86 St,
R247,398,,,398,77 St,
R248,398,,,398,77 St,
R246,399,,,399,68 St-Hunter College,
R244,400,,,613,59 St,Lexington Av / 59 St
R244A,400,,,613,59 St,Lexington Av / 59 St
R245,400,,,613,59 St,Lexington Av / 59 St
R245A,400,,,613,59 St,Lexington Av / 59 St
R242,401,,,612,51 St,51 St - Lexington Av / 53 St
